SNAP_TS,ACCT,QUEUED,HELD,TIME_CRIT,N
2025-02-03 07:00:00,CB_USD_FED,21902149.929675844,4224135.418332247,3308693.88771907,12
2025-02-03 08:00:00,CB_USD_FED,17553403.695391305,2259617.395163692,2805394.26685125,15
2025-02-03 09:00:00,CB_USD_FED,17035082.149368457,241532.97721330708,1047217.6123838072,11
2025-02-03 10:00:00,CB_USD_FED,35280946.7549012,5011602.940052518,5742366.128090684,18
2025-02-03 11:00:00,CB_USD_FED,37135600.689269125,5436334.545717321,6582378.807816401,12
2025-02-03 12:00:00,CB_USD_FED,15940818.22573512,4745659.061064774,1775359.7214550248,19
2025-02-03 13:00:00,CB_USD_FED,45224102.18559508,5636291.619933518,4181243.600007237,19
2025-02-03 14:00:00,CB_USD_FED,41913489.233380154,2461294.7020520787,1500616.0870242119,8
2025-02-03 15:00:00,CB_USD_FED,22517253.71155826,1537258.3058496646,912520.269849313,19
2025-02-03 16:00:00,CB_USD_FED,8733456.85123625,2521010.7473537354,568306.2626407875,16
2025-02-03 17:00:00,CB_USD_FED,15593134.454153758,2444122.0986067094,436236.0805534271,15
2025-02-03 18:00:00,CB_USD_FED,24305795.45672072,1713131.2237265615,2852218.3642049883,14
2025-02-04 07:00:00,CB_USD_FED,23772963.300492425,7115060.469967325,3852184.224036639,11
2025-02-04 08:00:00,CB_USD_FED,43728228.81458987,325559.9722631917,1337291.3635551657,10
2025-02-04 09:00:00,CB_USD_FED,12577236.284459753,997958.9848405789,1319883.5881598156,12
2025-02-04 10:00:00,CB_USD_FED,24459334.39364204,6132860.799076047,3027255.724800056,12
2025-02-04 11:00:00,CB_USD_FED,15581228.102109192,1590812.1660070908,1326515.5595486367,10
2025-02-04 12:00:00,CB_USD_FED,22654544.255051784,3844240.6673367666,4123013.2783783986,8
2025-02-04 13:00:00,CB_USD_FED,15661156.015817264,470801.8855650141,1778298.031433088,12
2025-02-04 14:00:00,CB_USD_FED,15475508.261130005,917309.4839739647,1233651.958116491,6
2025-02-04 15:00:00,CB_USD_FED,17757419.07940073,3434781.6674671327,2825869.5409524734,10
2025-02-04 16:00:00,CB_USD_FED,14977549.78533067,1305821.3143755908,1211932.9877937417,13
2025-02-04 17:00:00,CB_USD_FED,22794261.744273577,1908564.9549607232,339800.91774393717,10
2025-02-04 18:00:00,CB_USD_FED,22822288.299372897,2868933.3103249045,241071.92221552,10
2025-02-05 07:00:00,CB_USD_FED,12364191.103738239,978287.6777154517,473133.289704089,7
2025-02-05 08:00:00,CB_USD_FED,25302041.454800047,1315545.2182987584,3371401.109326365,7
2025-02-05 09:00:00,CB_USD_FED,21077093.957666934,4142348.116400197,2086421.5397958641,10
2025-02-05 10:00:00,CB_USD_FED,17849249.61783927,2257297.510830828,1728917.7156653812,6
2025-02-05 11:00:00,CB_USD_FED,26241270.468123704,2576449.6221000273,4094462.0282182945,17
2025-02-05 12:00:00,CB_USD_FED,28446515.098800823,3436811.0096712797,3210414.6397405327,14
2025-02-05 13:00:00,CB_USD_FED,13008037.729304286,3193974.0394941815,1327738.7664814072,10
2025-02-05 14:00:00,CB_USD_FED,16195464.681530427,1265146.9375169997,1066713.4671093922,16
2025-02-05 15:00:00,CB_USD_FED,19941232.55227388,4945398.0292110825,2919622.3071178445,12
2025-02-05 16:00:00,CB_USD_FED,32488850.180336468,2825007.218545653,775169.8629629697,12
2025-02-05 17:00:00,CB_USD_FED,23342349.68635052,2847370.9160285783,686732.8430831814,16
2025-02-05 18:00:00,CB_USD_FED,22512203.322311796,6602287.111290849,3350966.012584431,9
2025-02-06 07:00:00,CB_USD_FED,37244818.58549313,3884847.570570773,411932.46163810615,7
2025-02-06 08:00:00,CB_USD_FED,18709348.564787198,4885413.176089754,3605476.5989158647,11
2025-02-06 09:00:00,CB_USD_FED,28692844.96000649,7841780.169864533,739505.0428191388,14
2025-02-06 10:00:00,CB_USD_FED,14991839.97794697,1283830.7763958839,1662447.514050222,13
2025-02-06 11:00:00,CB_USD_FED,21246004.035288405,647668.8530515737,1515609.1215192808,11
2025-02-06 12:00:00,CB_USD_FED,28128225.518736843,6398695.9155168235,2612506.9362137276,10
2025-02-06 13:00:00,CB_USD_FED,14786285.183615912,3468753.0765721956,1225494.6384023486,9
2025-02-06 14:00:00,CB_USD_FED,15403002.988446958,250022.39281917652,2297953.4222849035,11
2025-02-06 15:00:00,CB_USD_FED,20118105.167865105,3499660.071863513,3200521.175592038,18
2025-02-06 16:00:00,CB_USD_FED,34457762.11488387,3536304.63484976,6550327.343609517,9
2025-02-06 17:00:00,CB_USD_FED,7463472.3763698265,1747040.5666677551,188573.35457327127,13
2025-02-06 18:00:00,CB_USD_FED,16907480.932894256,3265457.653192367,3142526.959953612,14
2025-02-07 08:00:00,CB_USD_FED,30733319.43212266,2187313.5365138813,4129357.5618369817,13
